Topography,Construction Type,Amount of Land (sqft),Land Price per sqft,Number of Floors,Architectural Style,Quality Level of Raw Materials,Furnished,Luxury Level,Building Area (sqft),Construction Cost per sqft,Raw Materials Cost per sqft,Flooring Cost per sqft,Ceiling Cost per sqft,Plumbing Cost per sqft,Wiring Cost per sqft,Price
rural,residential,5373,820,1,traditional,medium,Non-Furnished,standard,5104,1616,1179,414,93,288,131,21058059
metropolitan,commercial,11046,35338,16,modern,high,Non-Furnished,basic,10480,1580,1224,307,143,248,196,519843936
rural,residential,8343,482,3,modern,medium,Non-Furnished,luxury,7923,1521,1290,547,78,258,132,42572460
metropolitan,commercial,10189,23710,6,traditional,high,Furnished,luxury,9678,1750,1096,539,144,173,158,406333107
rural,commercial,4645,663,25,traditional,high,Furnished,standard,4400,1508,1183,403,141,287,117,75075544
metropolitan,residential,5001,29152,2,contemporary,medium,Non-Furnished,standard,4750,1505,1118,310,191,292,123,147664711
urban,residential,3802,18546,1,modern,high,Non-Furnished,basic,3611,1714,1021,579,147,204,111,74975001
metropolitan,residential,4226,32046,4,modern,high,Furnished,luxury,4012,1799,1040,402,198,246,158,169905651
rural,commercial,11361,660,3,contemporary,high,Non-Furnished,basic,10791,1718,1395,517,129,240,165,69249375
rural,commercial,7435,710,4,traditional,high,Furnished,standard,7060,1668,1250,520,100,187,132,53220097
urban,commercial,1368,13148,21,traditional,high,Non-Furnished,basic,1281,1768,1334,303,166,280,145,33615469
urban,residential,4350,12537,4,modern,medium,Furnished,basic,4132,1707,1328,587,92,219,147,63854501
suburban,commercial,9610,1042,23,contemporary,medium,Furnished,luxury,9108,1581,1161,582,146,196,174,196641461
rural,commercial,3728,907,30,contemporary,high,Non-Furnished,standard,3540,1675,1137,394,99,210,107,68547970
suburban,commercial,11698,2198,10,contemporary,high,Non-Furnished,luxury,11110,1735,1353,320,79,242,156,134259770
urban,residential,1226,14407,5,contemporary,low,Furnished,standard,1160,1724,1349,300,127,212,117,19119515
metropolitan,commercial,11493,26341,17,traditional,medium,Non-Furnished,luxury,10914,1684,1355,395,176,258,146,502782089
urban,commercial,8299,18459,25,modern,high,Furnished,basic,7875,1675,1173,303,84,193,119,260325620
metropolitan,residential,8346,45221,4,modern,medium,Furnished,luxury,7928,1796,1093,413,182,268,157,414738177
suburban,residential,7777,4176,2,contemporary,low,Non-Furnished,luxury,7388,1524,1190,511,69,223,173,56590741
rural,commercial,4222,335,30,traditional,low,Non-Furnished,luxury,3990,1637,1434,336,130,264,103,60842310
urban,residential,9508,6972,2,contemporary,low,Non-Furnished,basic,9032,1686,1115,304,134,183,136,73753920
suburban,commercial,6745,2308,28,contemporary,high,Non-Furnished,standard,6384,1697,1226,536,149,299,142,161904683
urban,commercial,4944,5298,9,traditional,high,Furnished,standard,4689,1558,1443,349,60,174,169,69182162
metropolitan,commercial,2206,36929,16,contemporary,medium,Furnished,basic,2080,1794,1128,364,97,153,126,99569584
metropolitan,residential,1500,32270,2,modern,high,Non-Furnished,basic,1424,1609,1499,478,161,187,175,48948766
rural,residential,8281,988,3,traditional,low,Furnished,standard,7866,1740,1139,468,92,208,194,37422351
urban,commercial,9099,7265,2,contemporary,high,Non-Furnished,standard,8644,1555,1311,527,171,159,176,126278719
metropolitan,residential,7438,37346,3,traditional,low,Non-Furnished,basic,7065,1719,1139,441,128,239,187,226888362
rural,commercial,4882,627,23,contemporary,medium,Non-Furnished,basic,4623,1729,1482,499,133,252,181,72844452
rural,residential,1429,713,4,traditional,high,Furnished,basic,1356,1561,1482,447,129,293,146,7510590
suburban,commercial,4837,4072,27,traditional,low,Non-Furnished,standard,4590,1580,1440,436,93,251,118,88815002
suburban,commercial,3585,1814,17,traditional,high,Non-Furnished,basic,3400,1615,1467,420,194,169,186,46962677
metropolitan,residential,4036,31142,3,traditional,high,Furnished,standard,3834,1514,1424,443,59,207,146,142300437
urban,residential,8484,7729,2,traditional,low,Non-Furnished,standard,8058,1576,1308,567,177,278,122,83105469
urban,commercial,3538,13156,2,contemporary,high,Non-Furnished,standard,3360,1772,1397,448,98,263,171,75010135
metropolitan,residential,4179,42534,5,modern,low,Furnished,basic,3970,1514,1238,436,173,208,125,145489493
rural,commercial,7812,480,4,modern,low,Furnished,basic,7420,1582,1423,460,122,253,183,39426774
urban,commercial,4831,8236,9,traditional,low,Furnished,standard,4581,1574,1209,366,116,173,101,68913329
metropolitan,residential,3438,43098,5,modern,low,Furnished,basic,3265,1664,1030,441,105,282,136,121077244
metropolitan,commercial,6019,44710,13,traditional,high,Non-Furnished,luxury,5707,1718,1081,464,149,232,121,429078357
urban,commercial,8811,13139,28,modern,medium,Furnished,basic,8344,1615,1361,397,81,274,198,236378092
metropolitan,residential,7202,23908,3,modern,high,Non-Furnished,basic,6840,1528,1095,541,142,249,164,182676611
rural,commercial,3948,886,27,traditional,medium,Furnished,basic,3726,1569,1201,463,81,162,108,61313165
urban,commercial,8953,15233,23,contemporary,high,Furnished,basic,8487,1607,1314,452,80,271,191,276960363
urban,residential,4455,9616,5,modern,medium,Non-Furnished,standard,4230,1736,1404,427,101,169,124,60137235
rural,commercial,1666,954,12,traditional,high,Non-Furnished,standard,1572,1746,1098,326,60,281,138,15684968
suburban,residential,8223,3286,1,modern,high,Furnished,luxury,7811,1744,1278,364,183,244,138,63459293
rural,residential,4436,280,2,traditional,medium,Furnished,luxury,4214,1557,1432,550,125,180,130,20248232
urban,commercial,7286,9251,14,contemporary,medium,Furnished,standard,6916,1798,1206,420,56,258,147,145476058
suburban,residential,4302,2381,3,modern,high,Non-Furnished,luxury,4086,1568,1014,343,87,263,182,29589610
urban,residential,3442,18599,4,traditional,low,Furnished,standard,3268,1667,1490,347,180,289,180,65685226
rural,commercial,4269,401,1,modern,high,Non-Furnished,standard,4055,1771,1355,553,179,210,176,22894758
suburban,residential,9066,4660,4,modern,high,Non-Furnished,luxury,8612,1641,1146,427,87,198,197,92684226
suburban,commercial,11805,2593,29,modern,high,Furnished,standard,11194,1616,1309,494,64,176,177,276904037
suburban,commercial,3349,2392,9,traditional,high,Furnished,basic,3177,1580,1130,493,96,152,114,34945043
metropolitan,residential,5311,44177,3,traditional,medium,Non-Furnished,standard,5043,1553,1371,416,136,216,121,232243903
suburban,commercial,5886,4327,4,contemporary,low,Furnished,luxury,5588,1696,1157,358,161,285,127,57452205
metropolitan,commercial,5266,49686,18,traditional,low,Non-Furnished,luxury,4986,1573,1030,344,94,284,157,335592615
urban,commercial,2155,8143,24,modern,high,Non-Furnished,basic,2040,1580,1156,469,124,219,198,51395882
urban,residential,9938,13647,3,traditional,medium,Non-Furnished,basic,9441,1706,1380,440,157,167,127,146997846
metropolitan,commercial,3733,29955,5,traditional,medium,Non-Furnished,basic,3545,1624,1285,543,177,207,196,132477042
rural,residential,3565,301,1,modern,medium,Furnished,luxury,3386,1774,1167,523,186,207,114,14555307
metropolitan,commercial,1981,46731,7,contemporary,low,Furnished,basic,1876,1747,1442,394,145,224,160,93437987
metropolitan,residential,9452,37474,2,modern,high,Non-Furnished,basic,8978,1712,1376,582,194,258,179,354657043
suburban,residential,7902,1192,1,traditional,medium,Furnished,standard,7506,1788,1097,564,59,168,125,34421674
urban,commercial,4785,6120,2,contemporary,high,Non-Furnished,basic,4544,1648,1416,600,118,242,173,55628044
suburban,residential,4177,2372,2,modern,medium,Non-Furnished,standard,3968,1698,1424,331,98,275,125,24208938
metropolitan,commercial,5169,28258,24,contemporary,medium,Furnished,standard,4896,1622,1000,580,150,206,195,253036950
suburban,residential,4810,4847,2,traditional,medium,Furnished,standard,4568,1736,1132,352,162,163,181,37872062
suburban,residential,6278,4864,4,modern,high,Non-Furnished,luxury,5964,1674,1211,476,110,256,146,67682826
rural,residential,5542,558,4,contemporary,high,Non-Furnished,luxury,5264,1674,1177,339,170,197,125,30304660
metropolitan,residential,7315,49624,4,traditional,high,Non-Furnished,standard,6948,1701,1245,304,149,289,143,391994384
metropolitan,commercial,2014,47178,1,modern,medium,Non-Furnished,basic,1913,1679,1353,599,89,238,103,101757332
metropolitan,commercial,3145,40172,22,contemporary,low,Furnished,standard,2970,1727,1470,548,193,189,165,171800892
suburban,residential,3912,2029,5,traditional,low,Furnished,luxury,3715,1709,1492,346,109,197,164,25200428
rural,commercial,7746,428,28,modern,high,Furnished,basic,7336,1747,1274,328,139,168,108,104792096
metropolitan,commercial,6106,48991,24,modern,medium,Furnished,luxury,5784,1671,1241,404,136,203,177,454103426
suburban,commercial,4206,3149,24,contemporary,medium,Non-Furnished,luxury,3984,1510,1270,490,90,233,130,88301934
suburban,residential,2203,2057,3,modern,medium,Furnished,basic,2091,1507,1221,379,133,172,134,11066550
suburban,residential,4515,4251,1,modern,low,Furnished,luxury,4289,1541,1441,464,52,225,130,32174381
suburban,commercial,11738,1697,30,modern,low,Non-Furnished,luxury,11130,1531,1435,484,57,280,172,239801867
metropolitan,residential,8137,24091,3,modern,low,Furnished,luxury,7728,1691,1482,477,105,249,104,209707899
suburban,commercial,9590,1971,18,traditional,low,Furnished,luxury,9108,1660,1219,426,187,211,103,130720275
urban,residential,4831,14833,5,traditional,high,Non-Furnished,luxury,4585,1549,1159,448,142,242,193,105622488
metropolitan,commercial,10042,45899,21,contemporary,medium,Furnished,luxury,9534,1670,1276,341,148,177,106,680028039
metropolitan,commercial,9670,28774,29,contemporary,low,Furnished,luxury,9164,1758,1364,460,156,227,101,472990052
rural,residential,2863,362,5,modern,medium,Furnished,luxury,2715,1636,1201,566,72,214,136,17506328
rural,residential,8577,586,3,traditional,low,Non-Furnished,luxury,8148,1549,1154,579,120,156,155,39841091
rural,commercial,11725,987,10,traditional,medium,Furnished,standard,11130,1645,1333,538,198,168,151,122252486
suburban,commercial,7384,3925,21,traditional,low,Non-Furnished,basic,7014,1723,1296,303,132,289,168,88136644
metropolitan,commercial,10876,20707,2,contemporary,low,Furnished,basic,10332,1794,1126,397,115,206,177,240280168
rural,commercial,11547,415,29,modern,medium,Non-Furnished,standard,10962,1800,1248,440,178,205,156,202386600
metropolitan,residential,6266,34491,1,traditional,medium,Non-Furnished,luxury,5952,1776,1081,588,98,277,185,237558781
suburban,commercial,2253,1971,17,traditional,medium,Furnished,luxury,2125,1621,1203,469,97,208,106,34311024
suburban,residential,9244,3567,5,modern,low,Non-Furnished,standard,8780,1503,1086,407,171,242,112,63327069
suburban,residential,2619,2733,1,traditional,medium,Furnished,luxury,2488,1518,1146,370,84,255,165,15951335
rural,commercial,10443,929,12,modern,high,Furnished,luxury,9912,1773,1299,422,187,261,124,128783669
urban,residential,10410,6291,2,traditional,medium,Non-Furnished,standard,9888,1790,1263,321,81,228,154,95943252
suburban,commercial,9147,3190,3,contemporary,high,Furnished,luxury,8688,1693,1240,490,74,209,121,95571500
suburban,residential,2875,1967,5,traditional,low,Furnished,standard,2730,1644,1142,399,84,163,108,16126089
rural,commercial,10767,835,9,contemporary,medium,Non-Furnished,basic,10224,1660,1431,494,52,210,130,89155975
urban,commercial,3541,8641,22,modern,high,Furnished,luxury,3344,1782,1400,509,168,281,141,107507540
suburban,residential,10353,2219,4,traditional,high,Non-Furnished,luxury,9832,1566,1065,439,141,207,137,77182667
rural,commercial,2402,699,25,contemporary,low,Non-Furnished,luxury,2275,1636,1048,329,97,181,174,29975022
metropolitan,residential,6296,32941,4,contemporary,high,Furnished,standard,5980,1593,1098,505,140,273,140,236999187
urban,residential,3746,9806,2,modern,medium,Non-Furnished,basic,3558,1531,1114,435,153,300,162,41656530
metropolitan,commercial,7485,34836,23,modern,low,Non-Furnished,basic,7107,1685,1457,534,185,279,197,334181627
urban,commercial,8168,6118,8,modern,medium,Non-Furnished,luxury,7752,1739,1031,354,193,290,153,118977848
urban,commercial,4045,11261,12,contemporary,medium,Furnished,basic,3840,1665,1252,512,58,158,174,81321615
metropolitan,commercial,10429,35450,2,contemporary,medium,Non-Furnished,standard,9906,1553,1034,495,124,197,108,450330634
suburban,residential,11853,3443,5,contemporary,low,Furnished,luxury,11260,1597,1308,508,178,236,103,96702711
rural,commercial,2192,664,4,traditional,high,Furnished,luxury,2080,1638,1167,396,192,265,146,15870373
urban,residential,2930,16215,1,modern,high,Furnished,basic,2783,1587,1141,418,118,253,185,51616157
urban,residential,8924,12820,3,traditional,high,Non-Furnished,luxury,8475,1697,1417,319,56,189,170,165990312
metropolitan,commercial,1285,32530,26,modern,medium,Non-Furnished,basic,1196,1645,1024,591,196,259,128,63427495
urban,commercial,4514,12550,1,contemporary,medium,Furnished,luxury,4288,1735,1017,424,163,263,148,88521229
urban,residential,1713,17161,5,contemporary,high,Furnished,standard,1625,1739,1362,345,123,155,125,37588476
suburban,commercial,1917,4136,14,traditional,high,Furnished,standard,1820,1610,1496,348,177,283,141,28662855
urban,residential,6526,8552,3,traditional,high,Non-Furnished,basic,6198,1538,1162,466,52,261,160,74969995
suburban,commercial,6074,1714,16,contemporary,low,Non-Furnished,luxury,5760,1660,1106,320,61,184,102,62980044
suburban,commercial,2739,3126,28,contemporary,medium,Non-Furnished,basic,2576,1624,1455,539,186,268,105,56242487
rural,residential,11599,217,4,traditional,high,Non-Furnished,luxury,11016,1572,1492,308,98,232,134,59843971
suburban,commercial,10514,1675,1,traditional,high,Furnished,luxury,9988,1778,1383,379,144,268,175,79172541
urban,residential,5188,16339,2,traditional,high,Furnished,basic,4928,1572,1470,337,118,234,179,94391408
metropolitan,commercial,5280,47025,26,contemporary,medium,Furnished,basic,4992,1772,1017,348,163,294,110,307375362
urban,commercial,5218,15365,20,traditional,high,Non-Furnished,standard,4940,1603,1418,365,111,256,161,161860042
metropolitan,residential,1654,28711,4,modern,low,Furnished,standard,1568,1696,1387,594,182,259,183,46289538
metropolitan,residential,10568,35713,1,contemporary,high,Furnished,basic,10039,1511,1340,471,105,185,190,370828156
rural,commercial,4406,911,26,traditional,low,Furnished,luxury,4160,1715,1266,466,158,274,174,75724291
metropolitan,commercial,7298,27613,10,modern,high,Non-Furnished,standard,6930,1604,1274,548,140,163,178,317956471
urban,commercial,10453,6984,7,contemporary,high,Furnished,standard,9926,1748,1232,432,165,250,170,168193714
metropolitan,residential,9494,40118,1,modern,high,Furnished,luxury,9019,1541,1249,392,84,222,179,451068436
urban,commercial,7592,19448,8,contemporary,medium,Non-Furnished,standard,7208,1633,1417,597,67,267,126,228112174
metropolitan,commercial,3798,21501,28,contemporary,low,Non-Furnished,standard,3584,1558,1193,400,71,213,120,131778026
suburban,commercial,5206,4309,9,contemporary,high,Furnished,luxury,4941,1529,1316,318,110,295,119,71103551
metropolitan,residential,3943,38891,3,modern,low,Non-Furnished,standard,3744,1719,1147,412,99,164,125,137827795
rural,commercial,7593,206,6,contemporary,medium,Non-Furnished,standard,7212,1784,1223,310,83,241,102,43711001
metropolitan,commercial,10257,39680,29,traditional,high,Furnished,standard,9744,1634,1313,508,124,176,191,707574839
metropolitan,residential,6086,33358,1,contemporary,medium,Furnished,luxury,5781,1786,1013,471,55,262,182,223019228
rural,residential,2073,319,3,modern,high,Furnished,luxury,1968,1562,1465,302,106,190,120,10198900
rural,residential,1604,828,3,contemporary,low,Non-Furnished,luxury,1521,1522,1120,554,199,258,129,7810327
metropolitan,residential,4720,43373,5,traditional,medium,Non-Furnished,luxury,4480,1533,1089,522,187,227,184,228530570
urban,commercial,6868,17301,4,modern,low,Non-Furnished,basic,6524,1702,1219,535,93,234,137,137987714
rural,residential,2400,322,1,traditional,low,Non-Furnished,standard,2280,1641,1292,322,132,151,184,7499757
rural,commercial,3378,661,26,modern,high,Furnished,basic,3198,1798,1111,537,111,246,112,63141489
urban,residential,6778,5562,1,modern,high,Non-Furnished,basic,6439,1743,1397,488,166,189,168,57404924
suburban,residential,2499,1375,2,traditional,low,Non-Furnished,luxury,2374,1605,1024,323,176,286,143,11268694
metropolitan,residential,7788,23711,5,modern,low,Non-Furnished,standard,7395,1744,1328,457,184,248,101,184856432
rural,commercial,2125,769,4,traditional,high,Furnished,standard,2016,1545,1438,503,173,256,155,15753895
urban,commercial,9972,7791,7,traditional,medium,Non-Furnished,basic,9471,1570,1205,550,141,202,161,143758504
urban,residential,7060,5777,2,contemporary,medium,Non-Furnished,luxury,6706,1712,1321,427,129,202,168,69496154
rural,residential,11912,329,5,traditional,low,Non-Furnished,basic,11315,1765,1102,419,170,175,179,48108996
urban,commercial,2934,13229,13,contemporary,low,Non-Furnished,luxury,2782,1558,1206,506,145,226,103,72006854
rural,residential,4880,940,5,modern,low,Furnished,standard,4635,1579,1078,511,63,221,168,25163722
metropolitan,residential,11842,39497,1,traditional,high,Non-Furnished,standard,11249,1598,1080,405,123,156,165,502324709
rural,commercial,9838,503,12,traditional,low,Furnished,luxury,9336,1672,1049,442,98,275,157,93195900
metropolitan,commercial,6877,20481,22,traditional,medium,Non-Furnished,standard,6512,1610,1258,318,100,160,176,228713580
suburban,residential,10029,3135,1,modern,high,Non-Furnished,standard,9527,1608,1248,571,155,150,140,67646164
suburban,commercial,10309,4898,13,contemporary,medium,Non-Furnished,basic,9789,1707,1231,416,79,173,158,134843905
metropolitan,residential,6792,36549,3,contemporary,medium,Non-Furnished,standard,6450,1630,1326,520,71,292,169,252720367
suburban,residential,4792,2951,1,traditional,medium,Furnished,luxury,4552,1683,1337,559,64,289,114,32579393
suburban,commercial,3885,2847,3,modern,high,Furnished,standard,3690,1700,1191,576,130,177,163,36505317
metropolitan,residential,3032,20996,4,contemporary,high,Furnished,basic,2880,1628,1353,389,58,177,185,69678816
rural,commercial,5966,921,11,traditional,low,Furnished,luxury,5665,1561,1166,568,120,288,152,65274932
urban,residential,10135,13272,5,contemporary,medium,Non-Furnished,standard,9625,1534,1360,586,142,298,184,176916348
urban,residential,8233,11931,4,traditional,high,Furnished,standard,7820,1742,1450,375,134,211,190,138131581
urban,commercial,11719,14882,1,contemporary,low,Furnished,basic,11133,1692,1331,524,80,196,158,195305028
metropolitan,commercial,5216,42741,6,traditional,high,Non-Furnished,luxury,4950,1645,1254,345,171,288,180,333677248
urban,commercial,4879,5684,24,modern,medium,Furnished,basic,4632,1543,1370,316,157,171,199,78162382
metropolitan,residential,2049,40430,5,modern,medium,Furnished,basic,1945,1648,1282,526,92,206,129,76614646
urban,residential,10760,17501,3,contemporary,medium,Furnished,luxury,10221,1534,1088,538,169,269,147,235495961
suburban,commercial,2794,4911,30,modern,low,Furnished,basic,2640,1723,1364,414,89,184,114,49766371
urban,commercial,8923,16389,7,traditional,medium,Furnished,luxury,8470,1614,1005,531,50,205,151,247000429
urban,residential,7501,10956,5,contemporary,high,Non-Furnished,basic,7125,1797,1345,506,194,298,159,113364005
metropolitan,residential,10044,36256,5,contemporary,low,Furnished,luxury,9540,1698,1149,369,86,259,117,368901512
rural,residential,6225,588,1,traditional,low,Furnished,basic,5913,1772,1280,396,78,269,183,20150590
urban,residential,10351,12231,2,contemporary,high,Furnished,standard,9832,1722,1277,402,105,158,180,167216870
suburban,commercial,6069,2267,19,modern,medium,Furnished,luxury,5757,1578,1237,525,93,177,142,108793961
metropolitan,commercial,2724,49698,26,traditional,low,Non-Furnished,luxury,2574,1506,1209,337,150,163,168,180945238
urban,commercial,2568,14400,5,traditional,high,Non-Furnished,basic,2435,1736,1273,386,126,254,113,54674464
suburban,commercial,6945,3601,19,contemporary,medium,Furnished,standard,6593,1681,1495,310,112,187,175,97381947
rural,commercial,6537,384,8,traditional,high,Furnished,standard,6208,1688,1227,462,91,189,130,56231574
metropolitan,commercial,9249,32526,4,modern,low,Non-Furnished,standard,8784,1612,1172,578,97,239,181,346636189
suburban,commercial,5833,1610,2,traditional,medium,Non-Furnished,luxury,5540,1693,1489,446,84,276,187,42339678
rural,residential,3876,705,2,contemporary,medium,Furnished,standard,3682,1562,1356,300,78,296,102,15830394
urban,commercial,6906,5521,7,contemporary,medium,Furnished,basic,6559,1584,1253,427,123,238,170,79329279
metropolitan,residential,10087,48407,3,contemporary,high,Furnished,luxury,9582,1730,1364,500,142,300,191,587265257
metropolitan,residential,9128,21389,5,traditional,high,Non-Furnished,basic,8670,1626,1237,375,195,183,151,214645179
urban,residential,8034,7500,2,modern,medium,Non-Furnished,basic,7632,1501,1491,541,170,189,125,76983741
metropolitan,commercial,3198,35699,5,modern,high,Furnished,standard,3035,1605,1157,565,187,172,180,160739624
metropolitan,commercial,10768,36002,8,traditional,high,Non-Furnished,standard,10224,1712,1118,401,109,151,159,548959943
metropolitan,commercial,1320,32843,19,traditional,medium,Furnished,basic,1254,1683,1344,600,129,235,153,61581606
metropolitan,commercial,9537,46647,12,traditional,medium,Non-Furnished,luxury,9060,1627,1055,537,180,298,187,645630466
metropolitan,residential,3984,24952,4,modern,medium,Furnished,standard,3784,1614,1009,445,144,292,147,106563260
urban,residential,9336,11718,4,modern,medium,Furnished,luxury,8868,1686,1444,357,155,200,109,153243675
rural,residential,11294,993,3,modern,high,Non-Furnished,luxury,10728,1520,1301,527,102,220,183,69540531
metropolitan,residential,9100,27408,5,modern,low,Furnished,basic,8645,1548,1247,526,65,249,181,219429648
urban,residential,9542,14529,2,contemporary,low,Non-Furnished,basic,9064,1796,1129,409,106,228,102,128678832
metropolitan,commercial,2763,41456,9,traditional,high,Non-Furnished,basic,2619,1684,1441,348,184,270,169,144359633
suburban,commercial,3806,3179,9,modern,medium,Furnished,standard,3609,1730,1200,554,160,239,182,47151969
rural,commercial,6028,381,27,modern,low,Furnished,standard,5724,1546,1111,402,73,163,170,81611976
metropolitan,residential,2354,26586,3,contemporary,high,Non-Furnished,luxury,2235,1555,1378,345,190,257,173,79320171
metropolitan,residential,7341,20119,3,modern,high,Furnished,basic,6972,1692,1066,362,83,224,177,158708256
metropolitan,residential,9548,41883,3,modern,medium,Non-Furnished,basic,9069,1777,1076,387,127,187,162,356901141
rural,commercial,7431,283,3,traditional,medium,Non-Furnished,standard,7059,1681,1486,454,66,166,162,40539873
rural,residential,10759,337,3,contemporary,medium,Furnished,standard,10221,1562,1184,503,146,251,166,47974118
rural,residential,5985,987,2,contemporary,high,Furnished,standard,5684,1534,1266,413,103,263,114,29297875
rural,commercial,8394,334,25,modern,high,Non-Furnished,luxury,7950,1632,1124,429,138,188,161,151533278
urban,residential,3961,9304,5,contemporary,low,Non-Furnished,standard,3760,1789,1172,485,79,184,166,47561210
metropolitan,residential,10618,48278,4,traditional,medium,Non-Furnished,standard,10084,1546,1403,443,192,163,186,509110030
suburban,residential,10257,3459,3,modern,low,Furnished,standard,9744,1577,1211,334,170,180,139,62754041
rural,commercial,5890,618,30,traditional,medium,Furnished,luxury,5580,1680,1252,584,196,291,122,146996363
rural,commercial,9027,398,27,traditional,high,Furnished,basic,8559,1633,1197,467,79,236,162,153047767
urban,residential,1788,13230,4,contemporary,medium,Furnished,luxury,1696,1553,1040,580,129,186,138,32479939
metropolitan,commercial,7436,41226,25,modern,medium,Non-Furnished,luxury,7050,1757,1226,403,165,159,127,486171932
urban,commercial,1492,16046,13,contemporary,high,Non-Furnished,standard,1417,1722,1021,317,106,218,123,41503385
rural,residential,6428,723,3,contemporary,low,Furnished,standard,6105,1733,1367,436,195,241,126,28489878
metropolitan,residential,3566,35665,3,contemporary,low,Non-Furnished,standard,3387,1779,1354,457,135,220,139,116728788
metropolitan,commercial,6786,22976,17,traditional,high,Furnished,standard,6443,1581,1102,469,121,208,111,275594292
suburban,residential,10009,1083,3,traditional,high,Furnished,basic,9507,1547,1447,463,96,270,160,51954408
metropolitan,commercial,2642,49936,30,contemporary,high,Furnished,basic,2490,1697,1406,600,86,164,175,202198556
urban,commercial,7398,10229,7,traditional,high,Furnished,luxury,7028,1522,1230,461,185,291,177,163239533
rural,commercial,6846,613,26,modern,high,Non-Furnished,standard,6500,1789,1178,317,54,170,138,96083797
metropolitan,residential,8950,39904,4,contemporary,low,Non-Furnished,luxury,8500,1529,1046,443,78,269,107,354572826
urban,residential,5514,6035,3,traditional,high,Furnished,luxury,5238,1559,1042,384,86,274,189,61194318
metropolitan,commercial,3766,28791,27,contemporary,high,Furnished,basic,3564,1645,1430,598,158,157,184,194721088
metropolitan,commercial,7429,29944,1,traditional,high,Non-Furnished,basic,7057,1510,1248,540,131,186,193,271517137
suburban,commercial,5812,2180,10,traditional,medium,Non-Furnished,luxury,5520,1551,1138,480,75,274,171,68824606
suburban,commercial,9595,1850,12,contemporary,low,Non-Furnished,luxury,9108,1529,1368,503,167,259,186,114003717
rural,commercial,9403,254,29,modern,high,Non-Furnished,basic,8932,1756,1390,378,135,150,158,144137745
metropolitan,commercial,6072,38994,30,modern,medium,Non-Furnished,luxury,5760,1722,1273,581,97,298,102,432311567
urban,commercial,9261,7388,20,modern,medium,Non-Furnished,luxury,8780,1552,1454,592,180,218,176,246607519
suburban,residential,9921,3910,3,traditional,low,Furnished,basic,9423,1708,1254,452,72,191,183,61641711
metropolitan,commercial,2814,45380,12,modern,high,Non-Furnished,basic,2664,1727,1230,581,148,172,105,169102506
urban,residential,8810,17779,4,traditional,high,Non-Furnished,basic,8368,1721,1206,495,53,162,151,178874890
suburban,commercial,5023,3430,2,modern,medium,Non-Furnished,basic,4770,1795,1005,565,111,168,178,37773331
rural,commercial,6068,856,25,contemporary,medium,Furnished,luxury,5750,1583,1179,316,129,150,197,84347860
suburban,commercial,3116,2357,7,traditional,medium,Non-Furnished,basic,2954,1631,1208,549,138,204,148,28245195
suburban,commercial,10378,2976,9,contemporary,medium,Non-Furnished,basic,9855,1689,1486,435,120,240,156,104783636
metropolitan,commercial,9373,21471,20,traditional,medium,Furnished,standard,8900,1650,1151,558,91,183,160,362842808
rural,commercial,7474,601,23,modern,high,Non-Furnished,luxury,7084,1652,1212,424,133,208,147,129533731
urban,commercial,3223,5874,7,modern,medium,Non-Furnished,basic,3059,1768,1251,574,160,254,136,41719129
urban,residential,4867,6151,4,contemporary,low,Non-Furnished,luxury,4620,1622,1323,544,113,279,122,49869818
rural,commercial,2966,373,5,modern,high,Furnished,basic,2815,1673,1178,560,189,282,178,20677211
rural,commercial,1666,525,19,traditional,low,Furnished,luxury,1577,1757,1215,469,123,284,156,22406469
rural,commercial,5640,566,27,contemporary,low,Furnished,basic,5346,1782,1003,566,185,229,164,91822764
metropolitan,commercial,6415,47302,24,modern,low,Non-Furnished,basic,6072,1681,1445,335,183,284,168,334212318
rural,residential,4074,889,3,modern,low,Non-Furnished,standard,3870,1661,1328,306,55,262,198,16795289
metropolitan,residential,3784,49369,2,contemporary,low,Non-Furnished,luxury,3594,1662,1180,499,193,227,134,180520458
metropolitan,residential,11724,26914,5,contemporary,medium,Furnished,standard,11135,1732,1247,512,128,227,118,344681309
urban,residential,5289,15796,2,traditional,high,Furnished,standard,5024,1763,1407,472,139,202,192,106108824
rural,commercial,10744,498,2,contemporary,high,Furnished,basic,10206,1687,1425,388,196,199,183,56402398
suburban,residential,7611,1883,2,contemporary,medium,Furnished,luxury,7230,1514,1131,369,93,268,163,42373201
metropolitan,residential,8986,38388,2,traditional,high,Furnished,luxury,8536,1796,1242,600,154,265,117,420487335
urban,commercial,10747,12210,9,traditional,high,Non-Furnished,basic,10206,1761,1158,492,103,170,135,229091187
suburban,commercial,10084,4559,16,contemporary,medium,Furnished,standard,9568,1648,1022,303,91,176,182,135136312
metropolitan,commercial,2628,35079,16,modern,high,Furnished,luxury,2496,1564,1224,429,88,189,179,156497419
urban,residential,7359,14924,4,contemporary,medium,Non-Furnished,basic,6988,1785,1175,457,185,210,158,119190384
metropolitan,residential,1418,24536,4,contemporary,high,Non-Furnished,standard,1344,1737,1429,307,123,165,135,40853434
rural,commercial,5882,316,25,traditional,medium,Furnished,luxury,5575,1676,1082,409,100,248,161,93682820
metropolitan,commercial,5174,38030,30,contemporary,high,Non-Furnished,basic,4890,1630,1250,352,179,271,194,289279759
